,Cust_Num,Task_Pri,DollarPerSquare,Latitude
0,0000000381,744,0.0,24
1,0000000381,744,0.0,25
2,0000000381,744,0.0,25
3,0000000381,744,0.0,25
4,0000000381,744,0.0,25
5,0000000381,744,0.0,25
6,0000000381,744,0.0,24
7,0000000381,744,0.0,24
8,0000000361,739,0.0,5
9,0000000306,738,0.0,24
10,0000044924,704,0.0,26
11,0000044924,760,0.0,23
12,0000000306,758,0.0,-8
13,0000000306,768,0.0,57
14,0000000306,778,0.0,36
15,0000000306,738,0.0,31
16,0000000306,758,0.0,37
17,0000000306,758,0.0,32
18,0000000306,748,0.0,37
19,0000000306,758,0.0,-7
20,0000000306,718,0.0,34
21,0000000306,738,0.0,-8
22,0000000361,739,0.0,35
23,0000000306,778,0.0,33
24,0000000306,778,0.0,38
25,0000000306,698,0.0,5
26,0000000306,768,0.0,36
27,0000000306,718,0.0,3
28,0000000306,708,0.0,25
29,0000000306,698,0.0,32
30,0000000306,718,0.0,35
31,0000000306,778,0.0,34
32,0000000306,758,0.0,56
33,0000000306,778,0.0,31
34,0000000306,718,0.0,27
35,0000000306,738,0.0,38
36,0000000306,718,0.0,1
37,0000000306,738,0.0,4
38,0000000306,718,0.0,2
39,0000000306,738,0.0,-3
40,0000000306,738,0.0,-8
41,0000000306,738,0.0,-2
42,0000000306,718,0.0,26
43,0000000306,778,0.0,34
44,0000000306,778,0.0,34
45,0000000306,698,0.0,2
46,0000000306,738,0.0,-2
47,0000000306,708,0.0,2
48,0000000306,778,0.0,37
49,0000000306,718,0.0,5
50,0000000306,738,0.0,-8
51,0000055772,734,0.0,31
52,0000000306,748,0.0,33
53,0000000306,778,0.0,34
54,0000000306,788,0.0,30
55,0000000306,768,0.0,37
56,0000000306,788,0.0,34
57,0000000306,708,0.0,24
58,0000000306,788,0.0,24
59,0000000306,778,0.0,37
60,0000000306,768,0.0,31
61,0000000306,708,0.0,-3
62,0000000306,788,0.0,37
63,0000000306,788,0.0,37
64,0000000306,738,0.0,-7
65,0000000306,758,0.0,-7
66,0000000306,718,0.0,1
67,0000000306,788,0.0,33
68,0000000306,708,0.0,2
69,0000000306,778,0.0,36
70,0000000306,768,0.0,37
71,0000000306,708,0.0,-1
72,0000000306,758,0.0,57
73,0000000306,768,0.0,54
74,0000000306,698,0.0,35
75,0000000306,718,0.0,0
76,0000000306,718,0.0,-3
77,0000000306,768,0.0,58
78,0000000306,788,0.0,40
79,0000000306,698,0.0,2
80,0000000306,718,0.0,0
81,0000000306,748,0.0,-8
82,0000000306,708,0.0,23
83,0000000306,788,0.0,33
84,0000000306,758,0.0,35
85,0000000306,708,0.0,31
86,0000000306,708,0.0,0
87,0000000306,758,0.0,30
88,0000000306,758,0.0,-7
89,0000000306,718,0.0,4
90,0000000306,738,0.0,34
91,0000000306,788,0.0,33
92,0000000306,718,0.0,35
93,0000000306,758,0.0,-7
94,0000000306,738,0.0,-7
95,0000000306,738,0.0,-3
96,0000000306,718,0.0,-3
97,0000000306,738,0.0,3
98,0000000306,758,0.0,2
99,0000000331,801,0.0,29
100,0000000306,748,0.0,-7
101,0000000306,738,0.0,-2
102,0000000306,698,0.0,26
103,0000000306,708,0.0,26
104,0000000306,708,0.0,24
105,0000000306,738,0.0,0
106,0000000306,778,0.0,34
107,0000000306,788,0.0,37
108,0000000306,768,0.0,54
109,0000044924,760,0.0,45
110,0000000306,718,0.0,32
111,0000000306,738,0.0,-3
112,0000000306,788,0.0,33
113,0000000306,778,0.0,-7
114,0000000306,738,0.0,-2
